t, x, y, z
0.017656,-0.1844,-1.0709,-0.10955
0.017734,-0.42867,-1.3049,-0.18084
0.017812,-0.69755,-1.2739,-0.038264
0.017891,-0.80757,-0.93649,0.26448
0.017969,-0.99964,-0.59118,0.41642
0.018047,-1.001,-0.22865,0.63075
0.018125,-0.60259,0.016279,0.72272
0.018203,-0.30911,-0.045468,0.71383
0.018281,-0.046965,-0.35542,0.72187
0.018359,0.34831,-0.68043,0.84892
0.018437,0.44691,-0.81992,0.75686
0.018516,0.53738,-0.83451,0.83788
0.018594,0.44907,-0.46076,0.94893
0.018672,0.055853,-0.30574,1.4558
0.01875,-0.44196,-0.18468,1.0502
0.018828,-0.765,-0.43251,0.61531
0.018906,-1.2718,-0.83639,0.67154
0.018984,-1.4702,-0.93565,0.91787
0.019063,-1.3119,-0.60474,0.80233
0.019141,-0.96661,0.14267,0.62383
0.019219,-0.56058,0.85716,0.90852
0.019297,-0.30471,1.4153,1.0337
0.019375,-0.064273,1.49,1.2675
0.019453,0.19937,1.0429,1.3001
0.019531,-0.040042,0.31117,0.98009
0.019609,-0.22247,-0.3586,0.88513
0.019687,-0.16503,-0.73254,1.0954
0.019766,-0.32651,-0.65798,1.0742
0.019844,-0.47433,-0.17139,0.72655
0.019922,-0.39471,0.40135,0.75845
0.02,-0.3659,0.86427,1.0165
0.020078,-0.5807,1.152,0.73956
0.020156,-0.75761,1.033,0.14988
0.020234,-0.63636,0.67229,-0.084761
0.020312,-0.53832,0.28824,0.2352
0.020391,-0.30097,0.22014,0.50305
0.020469,0.061466,0.44458,0.21069
0.020547,0.40388,0.50155,0.14632
0.020625,0.62532,0.1481,0.45
0.020703,0.6635,-0.4674,0.40472
0.020781,0.48808,-0.93995,0.12115
0.020859,0.36683,-1.1984,-0.069325
0.020938,0.23071,-1.0094,-0.25644
0.021016,0.25812,-0.55796,-0.086913
0.021094,0.44776,0.16325,-0.22762
0.021172,0.6082,0.63131,-0.4762
0.02125,0.70008,0.56713,-0.30293
0.021328,0.96418,0.20526,-0.37572
0.021406,0.99384,-0.2265,-0.89533
0.021484,0.90599,-0.64506,-1.0709
0.021562,0.71561,-0.9813,-0.51418
0.021641,0.61952,-0.80785,-0.0479
0.021719,0.78456,-0.094491,-0.14894
0.021797,1.0251,0.74779,-0.38348
0.021875,0.99702,1.256,-0.22463
0.021953,0.6606,1.375,0.043036
0.022031,0.31491,1.2801,-0.071476
0.022109,-0.064834,0.94678,-0.23744
0.022187,-0.15156,0.78175,-0.30368
0.022266,-0.075219,1.0774,-0.60605
0.022344,0.017869,1.6063,-0.72636
0.022422,0.12256,2.0587,-0.36543
0.0225,0.35476,2.3728,-0.077651
0.022578,0.62448,2.5585,-0.16644
0.022656,0.59791,2.4882,-0.69905
0.022734,0.33521,2.0941,-0.70625
0.022813,-0.13678,1.6063,-0.27814
0.022891,-0.73291,1.3729,0.21583
0.022969,-0.90562,1.6521,0.28319
0.023047,-0.71542,2.2934,-0.19469
0.023125,-0.23202,2.8408,-0.11872
0.023203,0.10272,2.9666,0.12536
0.023281,0.20825,2.5584,0.098046
0.023359,0.33596,1.7606,-0.011788
0.023438,0.28853,0.86717,-0.15932
0.023516,0.17878,0.41099,-0.62944
0.023594,0.023202,0.40781,-0.60203
0.023672,-0.23146,0.7288,-0.21237
0.02375,-0.36805,1.1007,-0.038638
0.023828,-0.3659,1.1121,0.033119
0.023906,-0.12246,0.57368,-0.069979
0.023984,0.23071,-0.42409,-0.49622
0.024062,0.40884,-1.4453,-0.59071
0.024141,0.56049,-1.981,-0.50988
0.024219,0.70915,-1.9097,-0.30565
0.024297,0.85556,-1.2235,-0.55993
0.024375,0.96849,-0.43737,-1.0513
0.024453,1.0155,-0.027599,-1.1306
0.024531,0.82881,-0.18964,-1.0558
0.024609,0.5603,-0.53981,-0.98233
0.024688,0.61999,-0.47246,-1.1592
0.024766,0.75845,-0.021798,-1.2927
0.024844,0.77904,0.59913,-1.2826
0.024922,0.90674,0.96428,-1.3838
0.025,1.0866,0.88054,-1.4275
0.025078,0.92498,0.22771,-1.5047
0.025156,0.69718,-0.80897,-1.6234
0.025234,0.83882,-1.641,-1.2994
0.025313,0.73703,-1.7271,-1.5017
0.025391,0.57836,-1.3145,-1.5784
0.025469,0.67996,-0.78746,-1.154
0.025547,0.82114,-0.36,-0.88148
0.025625,1.0457,-0.091123,-1.226
0.025703,0.93303,-0.28806,-1.4748
0.025781,0.81889,-0.87596,-1.0988
0.025859,0.68277,-1.4057,-0.95782
0.025937,0.22715,-1.6933,-0.88204
0.026016,-0.090749,-1.6193,-0.92882
0.026094,-0.1132,-1.302,-1.0336
0.026172,0.082048,-0.98888,-1.162
0.02625,0.35149,-0.88681,-1.2885
0.026328,0.35841,-1.1212,-0.93555
0.026406,0.35654,-1.6418,-0.23595
0.026484,0.42961,-1.9601,0.062682
0.026563,0.49771,-1.8662,-0.31173
0.026641,0.32585,-1.5166,-0.61251
0.026719,0.061279,-1.1278,-0.27019
0.026797,-0.24483,-0.9175,-0.023295
0.026875,-0.64694,-0.73319,-0.21527
0.026953,-0.69353,-0.49435,-0.30667
0.027031,-0.6561,-0.30443,-0.15839
0.027109,-0.65601,-0.12695,0.11479
0.027188,-0.60437,0.13219,0.2004
0.027266,-0.43129,0.48724,-0.057724
0.027344,-0.17607,0.87718,-0.25746
0.027422,0.031341,1.1293,-0.040042
0.0275,0.20891,1.2665,0.17336
0.027578,0.11648,1.2717,0.20358
0.027656,-0.2482,0.87007,0.25204
0.027734,-0.54356,0.17897,0.4312
0.027812,-0.8086,-0.34803,0.49425
0.027891,-0.96194,-0.46432,0.28057
0.027969,-0.93022,-0.30041,0.33839
0.028047,-0.55067,-0.17794,0.72084
0.028125,-0.040229,-0.18561,0.91235
0.028203,0.27047,-0.43653,0.61335
0.028281,0.45075,-0.97429,0.65872
0.028359,0.54917,-1.3669,0.7403
0.028438,0.34129,-1.2528,0.32791
0.028516,-0.044065,-0.77361,-0.18833
0.028594,-0.51961,-0.24474,-0.18384
0.028672,-0.94659,0.19216,0.054075
0.02875,-1.1121,0.51081,0.23548
0.028828,-0.92526,0.69297,0.2788
0.028906,-0.56423,0.5125,0.19029
0.028984,0.020956,0.10553,0.3411
0.029063,0.46534,-0.27739,0.28441
0.029141,0.53205,-0.69025,-0.1074
0.029219,0.54973,-1.1697,-0.14595
0.029297,0.36243,-1.4779,-0.12218
